"diff","lwr","upr","p adj","comp"
1.36523497782497,-1.38465559028449,4.11512554593444,0.938404595156568,"'45-30"
1.82034491718352,-0.929545650925951,4.57023548529298,0.631906483460459,"'49-30"
0.0722742567571801,-2.67761631135229,2.82216482486665,1,"'57-30"
0.39595706263211,-2.35393350547736,3.14584763074158,0.9999999589067,"'67-30"
1.23511754921621,-1.51477301889325,3.98500811732568,0.973092756388467,"'350-30"
1.55450092470671,-1.19538964340275,4.30439149281618,0.845031776364579,"'355-30"
2.20577993010639,-0.54411063800308,4.95567049821585,0.292239551966399,"'358-30"
1.32384139703662,-1.42604917107285,4.07373196514608,0.951760665398188,"'364-30"
0.455109939358542,-2.29478062875092,3.20500050746801,0.999999738704719,"'49-45"
-1.29296072106779,-4.04285128917726,1.45692984704167,0.960251066225724,"'57-45"
